COUNTRY;URANIUM
СОЕДИНЕННЫЕ ШТАТЫ;7775810.64
ТАНЗАНИЯ;1591.70
ЧЕШСКАЯ РЕСПУБЛИКА;910346.16
ГЕРМАНИЯ;3045.12
НИДЕРЛАНДЫ;1303747.17
КИТАЙ;59.31
УЗБЕКИСТАН;0.06
НИГЕР;819876.97
ИТАЛИЯ;0.84
ШВЕЦИЯ;37.90
КАНАДА;648439.68
ЛИВИЯ;0.10
БОЛГАРИЯ;207365.00
НОРВЕГИЯ;24.80
ФИНЛЯНДИЯ;1.19
СОЕДИНЕННОЕ КОРОЛЕВСТВО;282180.86
БЕЛАРУСЬ;1924.54
ПОЛЬША;531.82
УКРАИНА;5337129.70
ВЬЕТНАМ;107.40
АВСТРАЛИЯ;0.01
СЛОВАКИЯ;0.08
ФРАНЦИЯ;301527.05
ВЕНГРИЯ;15396.75
КАЗАХСТАН;18051077.60
